state_region,wind_energy_mw,solar_energy_mw,other_res_mw,total_mw,cumulative_wind_mw,cumulative_solar_mw,cumulative_other_res_mw,cumulative_total_mw
/ Chandigarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Delhi,0.0,0.0,0.15,0.15,0.0,0.0,0.78,0.78
 / Haryana,0.0,0.66,1.82,2.48,0.0,1.36,3.65,5.01
  / Himachal Pradesh,0.0,0.0,4.37,4.37,0.0,0.0,8.86,8.86
  / Jammu & Kashmir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Ladakh ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Punjab,0.0,1.96,2.74,4.7,0.0,3.93,5.48,9.41
 / Rajasthan,2.28,86.97,0.49,89.74,9.94,176.58999999999995,0.98,187.51
  / Uttar Pradesh,0.0,8.48,0.0,8.48,0.0,16.98,0.0,16.98
 / Uttarakhand,0.0,0.46,0.89,1.35,0.0,1.01,1.76,2.77
  / Northern Region ,2.28,98.53,10.46,111.27,9.94,199.86999999999995,21.51,231.32
 / Chhattisgarh,0.0,1.2,0.0,1.2,0.0,2.5,0.0,2.5
 / Gujarat,23.85,24.93,0.1,48.88,97.65,51.150000000000006,0.7,149.5
  / Madhya Pradesh,3.9,10.59,1.3,15.79,11.7,21.11,2.5,35.31
 / Maharashtra,4.1,10.8,0.0,14.9,14.0,23.0,0.0,37.0
   / Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
     / Dadra & Nagar Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  / Western Region,31.85,47.52,1.4,80.77000000000001,123.35,97.76,3.2,224.31
  / Andhra Pradesh,7.46,15.72,0.0,23.18,14.96,30.34,0.0,45.3
 / Telangana,0.35,13.39,0.0,13.74,0.83,30.42,0.0,31.25
 / Karnataka,9.97,32.95,16.87,59.790000000000006,20.96,70.23,34.32,125.51
 / Kerala,0.11,1.28,0.0,1.39,0.31,2.62,0.0,2.93
  / Tamil Nadu,9.62,21.7,0.0,31.32,18.43,42.2,0.0,60.63
 / Puducherry,0.0,0.06,0.0,0.06,0.0,0.12,0.0,0.12
  / Southern Region,27.51,85.10000000000001,16.87,129.48000000000002,55.49,175.93,34.32,265.74
 / Bihar,0.0,0.0,0.45,0.45,0.0,0.0,0.89,0.89
 / Jharkhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/ Odisha,0.0,0.0,1.63,1.63,0.0,0.0,3.24,3.24
  / West Bengal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Eastern Region,0.0,0.0,2.08,2.08,0.0,0.0,4.13,4.13
  / Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Assam,0.0,0.78,0.0,0.78,0.0,1.57,0.0,1.57
 / Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Meghalaya ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 / Mizoram ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
